fichier	url_image	page_source	titre	requete	date
/images/cover-basketball-records.webp	https://cdn.nba.com/manage/2021/08/wilt-chamberlain-100-points.jpg?w=1470&h=826	https://www.nba.com/news/most-points-scored-by-a-team-in-an-nba-game	Most Points Scored by a Team in a Single NBA Game | NBA.Com	Wilt Chamberlain 100 points game photo 1962	2026-09-24
/images/q-basketball-records-01.webp	https://www.pennlive.com/resizer/qleqdbuuNfMT4stQm-b9fMhFz4Y=/1280x0/smart/arc-anglerfish-arc2-prod-advancelocal.s3.amazonaws.com/public/H4WSGQ5QK5DSBNU5RXADLKOCJA.jpg	https://www.pennlive.com/galleries/ZKUZNEOKORE4BKGHEL5SA2C2WM/	Wilt Chamberlain - pennlive.com	Wilt Chamberlain Philadelphia Warriors 1962 photo	2026-09-24
/images/q-basketball-records-02.webp	https://cdn.nba.com/manage/2016/01/kobe-reacts-2006-archive-rose.jpg	https://www.nba.com/news/history-top-moments-kobe-bryant-81-points-2006	Top Moments: Kobe Bryant drops 81 points on Raptors in 2006 | NBA.com	Kobe Bryant 81 points Raptors 2006	2026-09-24
/images/q-basketball-records-03.webp	https://www.si.com/.image/t_share/MTY4MTcyMjQ4ODIxMDE1ODI1/golden-state-warriors-73-wins-nba-record-95-96-bulls-highlightsjpg.jpg	https://www.si.com/nba/2016/04/14/golden-state-warriors-73-wins-record-chicago-bulls-stephen-curry-video	Stephen Curry, Golden State Warriors finish NBA record 73–9, surpass ...	Golden State Warriors 73 wins 2016 Curry	2026-09-24
/images/q-basketball-records-04.webp	https://cdn.getyourguide.com/image/format=auto,fit=contain,gravity=auto,quality=60,width=1440,height=650,dpr=1/tour_img/db8251400f9e0010.png	https://www.getyourguide.com/toronto-l177/toronto-toronto-raptors-nba-game-ticket-at-scotiabank-arena-t512699/	Toronto: Toronto Raptors NBA Game Ticket at Scotiabank Arena | GetYourGuide	Toronto Raptors Scotiabank Arena game crowd	2026-09-24
/images/cover-basketball-equipe-de-france.webp	https://img.olympics.com/images/image/private/t_s_16_9_g_auto/t_s_w960/f_auto/primary/zqgdlvsjn67oiphx0rkx	https://www.olympics.com/fr/infos/jo-paris-2024-basketball-france-allemagne-resume-reactions-statistiques-demi-finale-wembanyama	JO de Paris 2024 - Basketball : La France de Wembanyama en finale ...	équipe de France basket Paris 2024 finale Wembanyama Bercy	2026-09-24
/images/q-basketball-equipe-de-france-01.webp	https://www.lexpress.fr/resizer/v2/YZYNN6E7PFHABAETSX32YBUYKQ.jpg?auth=2e34e6ec7836b05bd8ae2530e04c92278026b43c4a6c99330a7aca0328ccb955&width=1200&height=630&quality=85&smart=true	https://www.lexpress.fr/sport/basket-parker-pourrait-ne-pas-aller-a-la-coupe-du-monde-2014_1284273.html	Basket: Parker pourrait ne pas aller à la Coupe du monde 2014 – L'Express	France champion Eurobasket 2013 Ljubljana Tony Parker trophée	2026-09-24
/images/q-basketball-equipe-de-france-02.webp	https://img.lemde.fr/2024/08/11/0/0/5650/3767/664/0/75/0/898436d_1723343640143-lgeai-finale-basket-jo-51.jpg	https://www.lemonde.fr/en/sports/article/2024/08/11/steph-curry-and-team-usa-shatter-france-s-dream-of-gold-in-olympic-basketball-final_6712743_9.html	Steph Curry and Team USA shatter France's dream of gold in Olympic ...	France USA finale basket JO Paris 2024 Bercy	2026-09-24
/images/q-basketball-equipe-de-france-03.webp	https://cdn-s-www.leprogres.fr/images/F696DB0D-0695-4C7A-B4EA-6921BAFBB413/NW_raw/victor-wembanyama-(mets92)-au-cours-du-match-opposant-ldlc-asvel-(en-blanc)-et-le-metropolitans-92-(boulogne-levallois-en-bleu-)-photo-progres-maxime-jegat-1686065185.jpg	https://www.leprogres.fr/sport/2023/06/04/l-asvel-s-incline-face-a-boulogne-levallois-et-perd-son-titre	Basket. L'Asvel s'incline face à Boulogne-Levallois et perd son titre	Wembanyama Metropolitans 92 Boulogne-Levallois match	2026-09-24
/images/q-basketball-equipe-de-france-04.webp	https://wp.clutchpoints.com/wp-content/uploads/2024/05/Rudy-Gobert-blocking-Luka-Doncic.jpg	https://clutchpoints.com/nba/minnesota-timberwolves/timberwolves-news-rudy-gobert-2023-24-nba-defensive-player-of-the-year	Timberwolves' Rudy Gobert claims 2023-24 NBA Defensive Player of the ...	Rudy Gobert block Timberwolves	2026-09-24
